Continuing Education;Private (training institution, company, etc.);;;;;"Objectives of the Qualiopi certified training :
- To have the theory and practice of the subjects Digital Responsibility and Digital Ecodesign
- Understand the impacts of digital technology in the context of global issues
- To master the differences in concepts and values present in Sustainable Digital
- To approach the digital eco-design approach in a simple and tool-rich way
- Take action by creating a digital sobriety reflex within future digital projects
- To think concretely about the eco-design of a digital service by minimising its environmental impact via an optimisation exercise (1-day participative workshop)";Consulting firm and training organisation;Temesis;Understanding digital responsibility & the digital eco-design approach;Paris;#NOM?;2;Face-to-face and distance learning;https://temesis.hop3team.com/formations/formation-complete-comprendre-le-numerique-responsable-la-demarche-d-ecoconception-numer
Initial training;Public (university, engineering school, etc.);University of Pau and the Pays de l'Adour;IUT De Bayonne / Computer Science Department;BUT (Bac+3);One or more modules / teaching units;GOAL 2 - 1 Digital literacy session (1h);Higher education;;;Anglet;;1;Presential;
Initial training;Public (university, engineering school, etc.);University of Pau and the Pays de l'Adour;IUT De Bayonne / Computer Science Department;BUT (Bac+3);One or more modules / teaching units;GOAL 3/LP - Lecture on awareness raising, presentation of good practices + collective work (presentations) on specific points related to eco-design, consumption, good practice rules, etc. (15h);Higher education;;;Anglet;;2;Presential;
Initial training;Public (university, engineering school, etc.);University of Pau and the Pays de l'Adour;Master's degree in computer science, SIGLIS course;Master (Bac+5);One or more modules / teaching units;The objective of the Green IT course is to introduce the definition of Green IT and sustainability in IT, and to understand the main concepts related to energy measurement in IT systems, eco-design of sustainable software, and energy challenges in cloud computing and data centres.;Higher education;University of Pau et des Pays de l'Adour;Green It;Anglet;Crédits ECTS 2.0;2;Presential;https://formation.univ-pau.fr/fr/catalogue/sciences-technologies-sante-STS/master-14/master-informatique-79_1/m1-m2-parcours-systemes-informatiques-pour-le-genie-de-la-logistique-industrielle-et-des-services-siglis-126_1/amelioration-continue-K1C9B5WX/green-it-K1C9DJJS.html
Initial training;Publique  (University, école d'ingénieur, etc.);University of Bordeaux;IT UF;Licence (Bac+3);One or more modules / teaching units;L1: climate mural + small project on sustainable development in connection with digital technology;Higher education;University of Bordeaux;;Bordeaux;;0,5;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);University of Bordeaux;IT UF;Licence (Bac+3);One or more modules / teaching units;"L3: 20 hours of lectures, workshops and projects on the following themes
climate emergency, place of digital, direct and indirect impacts, health, eco-gesture, eco-design";Higher education;University of Bordeaux;;Bordeaux;;3;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);University of Bordeaux;IT UF;Other;Single intervention (workshop or learning classe);6-hour course at the math-info graduate school: climate emergency, place of digital technology, direct and indirect impacts, health, ecogeste, eco-design;Higher education;University of Bordeaux;;Bordeaux;;1;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);University of Bordeaux;IT UF;Other;Single intervention (workshop or learning classe); 1 hour workshop on an overview of the impact of digital technology in EUR Numerics (Master-Doctorate);Higher education;University of Bordeaux;;Bordeaux;;0,5;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);University of Lille;Polytech Lille;Engineering School (Bac+5);One or more modules / teaching units;EU Computer Science and Sustainable Development: 2 hours of lectures + 2x2 hours of tutorials;Higher education;Polytech Lille;"
IT and Sustainable development 
";Lille;;1;face to face;https://www.polytech-lille.fr/formation/8-specialites/informatique-et-statistique/
Initial training;Publique  (University, école d'ingénieur, etc.);La Rochelle University;IUT de la Rochelle / DUT Informatique;BUT (Bac+3);One or more modules / teaching units;Approach to the eco-design of digital services (impact of digital, good practices, performance measurement, etc.);Higher education;La Rochelle University;IT DUT - Smart Connected Environment course;La Rochelle;;;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);Institut Mines Télécom - Télécom SudParis;IT;Engineering School (Bac+5);One or more modules / teaching units;"Module (under construction) for engineering students (M1 level)
Title: Digital and energy consumption: acting from the processor to the software
The objective of the module is to provide future engineers with methods that enable them to integrate the power consumption aspect of a computer system from the design stage. In order to acquire this skill, we offer courses and tutorials that allow students to learn about
- instruments for measuring the energy consumption of various IT equipment
- to model the energy consumption of more complex systems";Higher education;IMT - Telecom Sud Paris;Digital and energetic consumption : act from processing to software ;Évry;;;face to face;https://www-inf.telecom-sudparis.eu/COURS/CSC4535/numenv/?page=numenv
Initial training;Publique  (University, école d'ingénieur, etc.);La Rochelle University;Sustainable Digital Training;Autre;"To present, in a global and coherent way, the nuisances generated by IT equipment throughout the life of each piece of equipment: at the various stages of manufacture, use (energy consumption) and end of life (waste management/recovery, pollution, depletion of non-renewable resources)
To propose a methodology and tools for the practical application of digital responsibility
To enable trainees to validate a ""Sustainable Digital"" knowledge certificate created by the trainer and the Institute for Sustainable Digital";"The concept of digital responsibility aims to reduce the ecological and social footprint of Information and Communication Technologies.
The objective of this training is to introduce the concept of digital responsibility. It is about :
Presenting in a global and coherent way the nuisances generated by IT equipment throughout the life of each piece of equipment: at the various stages of manufacture, use (energy consumption) and end of life (waste management/recovery, pollution, depletion of non-renewable resources)
To propose a methodology and tools for the practical application of digital responsibility
To enable trainees to validate a ""Responsible Digital"" knowledge certificate created by the trainer and the Institute for Responsible Digital";Higher education;University of La Rochelle;Sustainable digital;La Rochelle;;2;face to face and distancial learning;https://formations.univ-larochelle.fr/formation-numerique-responsable
Initial training;Publique  (University, école d'ingénieur, etc.);IMT Mines Albi;GSI / ETN;Engineering School (Bac+5);One or more modules / teaching units;"Module on digital responsibility :
- acculturation on the subject
- awareness of the environmental impact of digital technology
- awareness + eco-design workshop
- awareness + accessibility workshop
- awareness of cybersecurity";Higher education;IMT Mines Albi;;Albi;;;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);University Capitole 1, Toulouse;2IS;Master (Bac+5);One or more modules / teaching units;"Module on digital responsibility (in English) :
- acculturation on the subject
- awareness of the environmental impact of digital technology
- awareness + eco-design workshop
- awareness + accessibility workshop
- awareness of cybersecurity";Higher education;University Toulouse 1 Capitole;;Toulouse;;;face to face;https://miage.ut-capitole.fr/master-2is-innovative-information-systems--611942.kjsp
Initial training;Publique  (University, école d'ingénieur, etc.);University Paul Valéry, Montpellier;MIASHS;Master (Bac+5);One or more modules / teaching units;Digital Responsibility Awareness with a focus on eco-design and accessibility, courses and workshops.;Higher education;University Paul Valéry, Montpellier;;Montpellier;;;face to face;https://ufr6.www.univ-montp3.fr/fr/formation/masters/master_miashs
Initial training;Publique  (University, école d'ingénieur, etc.);IMT Alès;2IA;Engineering School (Bac+5);Single intervention (workshop or learning classe);Raising awareness of digital responsibility and eco-design.;Higher education;IMT Mines Alès;;Ales;;;face to face;https://www.imt-mines-ales.fr/formations/domaines-dexcellence/informatique-et-intelligence-artificielle
Initial training;Publique  (University, école d'ingénieur, etc.);Mines Saint-Etienne;Sustainable Management and Innovation / Cycle ICM + ISMIN;Engineering School (Bac+5);One or more modules / teaching units;"Objectives of the ""Green IT"" course integrated into the Climate, Environment and Sustainable Development Core Curriculum:
- To put people back at the heart of the reflection on the digital transition phenomenon
- Define what the digital transition is and draw up a numerical table
- Understand how organisations can appropriate this theme: invitation to a ""green"" conception of the IS in a CSR approach
- Learn about eco-design approaches (web and IS).

Digital fresco carried out on all the students in the 2A engineering cycle of the ISMIN course and on about thirty students in the ICM cycle";Higher education;Mines Saint-Etienne;;Saint-Étienne;;;face to face;
Initial training;Publique  (University, école d'ingénieur, etc.);Chaire Impact Positif Audencia / Plateforme RSE de la métropole nantaise;-;Other;Single intervention (workshop or learning classe);"In order to raise awareness of these different issues among enterprises, 10 Nantes-based networks got involved and co-constructed a two-hour support module on the theme: #NumériqueTraining.

The content is based on three main topics:
Sustainable and durable digital technology
Inclusive digital
Ethical digital";Higher education;Audencia;#NumériqueTraining;Nantes;;0,5;Distancial;https://rse.metropole.nantes.fr/agir/boite-a-outils-rse-nantes/se-former-au-numerique-responsable/
Initial training;Publique  (University, école d'ingénieur, etc.);IMT Atlantique;LUSSI;Engineering School (Bac+5);One or more modules / teaching units;"EU Hidden face of the digital world: environmental, social and societal impacts of the rise of new technologies (60H including 40H supervised)

Presentation of the EU :

At a time when the reduction of our ecological footprint is perceived as a necessity, we cannot ignore the environmental impact of the development of digital technologies. In a report by ADEME (Agence de l'Environnement et de la Maîtrise de l'Énergie) published in 2019, this sector is described as ""responsible for 4% of the world's greenhouse gas emissions and the sharp increase in usage suggests that this carbon footprint will double by 2025"" (""La face cachée du numérique"", ADEME). In addition to its impact in terms of energy consumption, the ever-increasing role of digital technology in our societies also has numerous social and societal impacts and raises ethical questions that an engineer, a player in the digital transition, cannot ignore.

The objective of this course is to provide students with :
- the keys to understanding the environmental, social and societal challenges of the digital transformation of companies and society
- a toolbox that will enable them to contribute to a responsible digital transformation

Organisation of the EU :
- A synthetic and exhaustive inventory of the impacts of digital technology: based on a workshop to understand the environmental, social and societal challenges of digital technology in a team and in a playful way (Digital Fresco).
- Focus on a series of themes: digital and the environment, digital ethics, digital and geopolitics, responsible digital, digital and work
Students will learn about the circular economy, eco-design, life cycle analysis, rare metals, responsible digital, digital labor, etc. They will attend lectures and conferences and debate in order to explore each of these themes and to understand the elements of solutions. The concept of life cycle analysis will be addressed through the creation of a simplified LCA.
- An exchange session with alumni";Higher education;IMT Atlantique;Digital hidden face : environmental, socials, societals impacts of the rise of new technologies;Nantes;;8;face to face;https://moodle.imt-atlantique.fr/course/view.php?id=1429
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Understand the fundamental concepts and approach to the eco-design of digital services.
Integrate the key steps and tools.
Implement the best practices of eco-design applied to websites and other digital services.";"DEFINITIONS?
Eco-design: an axis of digital responsibility
Eco-design of digital services
Eco-design and accessibility


APPROACH AND TOOLS?
The key stages of the approach
Impact assessment and good practice tools
Stakes and benefits


PRACTICAL WORKSHOP
Analysis of the user journey and the environmental impact of a site
Identification of the main levers for action
Examples of improvement


CHECKLIST OF GOOD PRACTICES";Professional;Agence Lucie;Introduction to ecodesign of digital services;Paris;;1;Distancial;https://agence-lucie.com/formation/introduction-eco-conception-services-numeriques/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Understand the ecodesign approach for digital services through the ecodesign of a website and know how to situate it in relation to the broader approaches of Sustainable design of digital services and Green IT
Master the fundamental concepts of ecodesign and know how to apply them in the digital domain and particularly to digital services
Master the methodology and tools for eco-designing a digital service
Know how to evaluate the performance and environmental maturity of a digital service";"
Day 1 - Theoretical contributions

State of the art in ecodesign of digital services

From sustainable development to ecodesign of digital services
Identify the challenges of sustainable development applied to digital services
Evaluate the potential of eco-design to reduce the associated ecological footprint
Discover the fundamental principles of the eco-design of equipment
Ecodesign of digital services
Understand the ecodesign of digital services (definition, scope, limits, etc.)
Master the general principles of ecodesign of digital services
Feedback from experience

The tools

The project approach
Best practice guidelines
Evaluation tools
Priority good practices: overview of all the good practices adapted to each stage of the life cycle, then study of each of them (a few dozen in detail)
Expression of need
Graphic and technical design
Development / programming
Deployment / production launch
End of life

Day 2 - Practical application

Analysis workshop
The trainer and the participants select a digital service to study. The trainer runs through the project in rapid succession to help the participants to concretise the approach, to understand the sequence of stages and to use the tools

Group analysis
The participants carry out the eco-design of a digital service of their choice on their own

Day 3 - Feedback and certification

Feedback
The participants report the results of their analyses to the trainer, who plays the role of client.
The trainer identifies the points acquired and those on which progress still needs to be made.
";Professional;Octo Academy;Sustainable digital service (eco)design;Paris;GreenIT knowledge certificate;3;face to face;https://www.octo.academy/formations/formation/151/ecoconception-responsable-de-service-numerique/1465/
Initial training;Publique  (University, école d'ingénieur, etc.);;;;;"Impact of IT on the environment
Manufacturing
Use
Destruction/Recycling
IT for the environment
An increasingly connected world ...
State of play
Outlook
... and finite resources
State of the art
Outlook
Our means of action
Citizens' rules of good conduct
Evolution of legislation (EU)
Perspectives Academics, from research to teaching";Academic;Ecoles des Mines de Nantes;GreenIT : A practical study from IoT to the Cloud;Nantes;;5;face to face;http://greenit.menaud.fr/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Master the software ecodesign approach and methodology
Know how to identify the best practices to implement
Know how to measure the environmental performance of a software / website";"State of the art ecodesign of digital services
From sustainable development to software ecodesign

Understand the challenges of sustainable development applied to ICT
Evaluate the potential of ICT ecodesign to reduce the associated ecological footprint
Discover the fundamental principles of equipment eco-design

Ecodesign of software

Understand software ecodesign (definition, scope, limits, etc.)
Master the general principles of software eco-design:
- Architecture
- Social dimension
- Environmental dimension

Feedback from experience

The tools
This section illustrates the approach by presenting the tools and methodologies adapted to online services.

The project approach

Best practice guidelines

Evaluation tools

Priority good practices

Overview of all the good practices adapted to each stage of the life cycle, then study of each of them (a few dozen in detail):
- Expression of need
- Graphic and technical design
- Development / programming
- Deployment / production launch
- End of life

Analysis workshop

The trainer and the participants select a digital service to study. The trainer runs through the project in rapid succession to help the participants make the process concrete, understand the sequence of steps, and use the tools.

Analysis workshop

The participants continue the analysis of the digital service in the first part of the morning. The trainer helps them to carry out this analysis.

Feedback
The participants report the results of their analysis to the trainer who plays the role of client. The trainer identifies the points acquired and those on which progress still needs to be made.";Professional;PLB Consultant;Eco-design of Digital Services Training;"Levallois-Perret
";"Eco Web Design"" certification
It is presented in the form of a MCQ of 60 questions that you will have to answer in 60 minutes. You need a score of 65% to obtain your certification.";3;face to face and distancial learning;https://www.plb.fr/formation/oracle/formation-eco-conception-logiciels,5-700598.php
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Explain eco-design and life cycle thinking
Identify the stakes for the company: regulatory, strategic, economic
Carry out a simplified LCA and exploit its results
Define the steps to implement an eco-design approach according to the CEN TS 16524 / NF E 01 005 standard (eco-design methodology for mechanical products)
Explain the link between the eco-design approach and the requirements of the ISO 14001:2015 standard relating to the product life cycle perspective";"Module 1 - Ecodesign and life cycle thinking: understanding eco-design
Principles and fundamental notions of eco-design
Module 2 - Regulations and standards applicable to eco-design: understanding the regulatory and normative framework of eco-design
Regulations
Overview of applicable regulations
Focus on certain regulations: Reach, RoHS, ErP Directive (Ecodesign), EPR channels (WEEE, ELV)
Standards
Overview of applicable standards
Module 3 - Strategic and market issues: understanding the benefits of an eco-design approach for your company
Strategic stakes
Image
Communication: standards and benchmarks for environmental product display
Market issues
Economic issues
Module 4 - Eco-design methods and tools: understanding the possible approaches and the principles of LCA
Overview of tools
Focus on environmental assessment through life cycle analysis (LCA)
Principles
Methodological framework
Modelling software and databases
Illustration by a simplified LCA on a case study with Ecodesign Studio
Module 5 - Carrying out an eco-design approach: implementation in the product development process of the company
Principles and general structure of the approach according to the CEN TS 16524 / NF E 01 005 standard
Carrying out a strategic analysis of the product
Environmental analysis: establishing the profile of a reference product
Identification and prioritisation of areas for improvement
Establishment of indicators and monitoring of environmental improvement
Assessment and communication of the results obtained
Illustration of each step by a case study using Ecodesign Studio software
Module 6 - Integration of the eco-design approach into the environmental management system: making the link with the requirements of the ISO 14001:2015 standard on the product life cycle perspective
Structure of the approach and principle of continuous improvement
The requirements of the product life cycle perspective of ISO 14001:2015
Declination of its environmental requirements towards external stakeholders";Training Organization;CETIM;Understanding and implementing an eco-design approach;Saint-Étienne;;2;Distancial;https://www.cetim.fr/formation/formation/Conception/Eco-conception/comprendre-et-mettre-en-place-une-demarche-eco-conception-g10
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Explain eco-design and life cycle thinking 
Identify the stakes for the company: regulatory, strategic, economic 
Carry out a simplified LCA and use its results 
Implement a step-by-step eco-design approach according to the CEN TS 16524 / NF E 01 005 standard 
Make the link between the eco-design approach and the requirements of the ISO 14001:2015 standard.";"Module 1: Ecodesign and life cycle thinking
Principles and fundamental notions of eco-design
Module 2: Regulations and standards applicable to eco-design
Overview of regulations
Focus on certain regulations: Reach, RoHS, ErP Directive (Ecodesign), EPR channels (WEEE, ELV)
Overview of standards
Module 3: Strategic and market issues
Stakes and interests of an eco-design approach for the company
Communication references for the environmental performance of its products
Module 4: Eco-design methods and tools
Overview of tools
Focus on environmental assessment through life cycle analysis (LCA)
Illustration by a simplified LCA on a case study with the Ecodesign Studio software
Module 5: Implementation of an eco-design approach
Step-by-step implementation of the approach according to the CEN TS 16524 / NF E 01 005 standard
Practical application on a case study with the Ecodesign Studio software
Module 6: Integration of the eco-design approach into the environmental management system
Structure of the approach and principle of continuous improvement
Link between the approach and the requirements of the life cycle perspective of the ISO 14001:2015 standard
Declination of its environmental requirements towards external interested parties";Training Organization;CETIM;Products innovation : understanding and implementing an eco-design approach;Mulhouse;;2;Distancial;https://www.cetim.fr/formation/formation/Conception/Eco-conception/innover-sur-vos-produits-comprendre-et-mettre-en-place-une-demarche-eco-conception-w-g10
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"
Learning objectives
Carry out and interpret an LCA.
Use the main functions of the SimaPro tool.
Understand the connections between LCA and eco-design of products";"Principles of Life Cycle Assessment (LCA)
Normative and regulatory context (ISO 14040/44 standards).
Presentation of the stages of LCA.
Presentation of the different databases.
Presentation of the different calculation methods.
Reminder of the rules of environmental communication based on an LCA.
Presentation of the SimaPro software and practical application
Presentation of the field of application and the main functions.
Case study on an industrial example including :
data collection  
Modelling the life cycle of a product 
Choice of calculation methods 
interpretation of results 
the link with eco-design (product improvement from an environmental point of view).";Training Organization;CETIM;Know how to carry out a Life Cycle Assessment (LCA) of a product;Paris;;2;face to face and distancial learning;https://www.cetim.fr/formation/formation/Industrie-du-Futur/Eco-conception/savoir-realiser-une-analyse-du-cycle-de-vie-acv-d-un-produit-g11
Initial training;Publique  (University, école d'ingénieur, etc.);ESIEE[IT];;;"At the end of this course, all participants will know :

What are the main trends in the field of digital responsibility
Propose solutions to reduce costs
Set up a Green IT project";"Module 1. Green IT: Context and challenges
The increase in energy consumption
The first initiatives in the field of recycling
Definition of Green IT
Fad, marketing effect or sustainable effect?
A major challenge for everyone
Module 2. Green IT, from project to implementation
Six major fundamental stages
Initiating the Green IT strategy in the company
Analysis and audit of the existing situation
Weighting of monitoring indicators according to the Enterprise
Integration of the results on a maturity scale
Strategic orientation and urbanisation of the information system
Implementation of recommendations and support for change
Example of a checklist (IT and office automation, Data centres, Hardware life cycle, Telecommunications)
From the origin of the workstation to current technologies
The concept of thin clients
The extinction of the workstation
Naturally eco-phobic computer applications
Module 3. Responsible purchasing
Eco-design, initiator of responsible purchasing
The main eco-labels
The daily use of eco-labels
Module 4. Managing printing well
Observations and impacts of our printing habits
Controlling your printing
Module 5. The computer park as a whole
From the origin of the workstation to current technologies
The notion of thin clients
The extinction of the workstation
Naturally eco-phobic computer applications
Module 6. Moving towards green data centres
Diving into the heart of data centres
The Dell Computer
Green data centres
Module 7. Managing the end of life of equipment
Why recycle?
Regulations
Everyday recycling and reuse
Module 8. The approach in the Enterprise and administrations
Corporate governance in the age of Green IT
Communities as drivers of change";Academic;ESIEE[IT];ESIEE (CCI Paris);Pontoise;MCQ - Certificat ESIEE-IT;2;Distancial;https://www.esiee-it.fr/fr/formation-continue-green-it-le-numerique-responsable-grit0
Continuing Education;Privée (établissement de formation, Enterprise, etc.);TEMESIS;;;"Understand the challenges of Sustainable digital design and digital eco-design, which are part of global issues 
To master the differences in concepts and values present in Sustainable Digital Design 
To approach the digital eco-design approach in a simple and tool-rich way 
To act, by creating the reflex of digital sobriety within future projects.";"This training course provides an understanding of the current issues as well as the social and environmental impact of digital technology. It then addresses the means of deploying a responsible digital approach. The detailed programme is as follows:

The current context, environmental and social issues
The global impact of digital technology: Life Cycle Assessment (LCA) of digital technology and of a digital service project
The impact of material manufacturing, of our daily use of digital technology and of the end of life
Place for sobriety and responsibility: definition of the concepts of digital sobriety, low-tech, green IT, IT4Green, accessibility, inclusion, illectronism, digital eco-design, Green-UX, respect for personal data, ethics
Interactive quiz on the key points
How do I do it? Guides, guidelines and good practices for digital eco-design, while paying attention to the rebound effects
The digital ecodesign approach: interest, method, measurement tools and demonstration with practical cases";Enterprise certification Qualiopi;TEMESIS;Raising awareness of digital sustainability  and eco-design;Paris;;0,5;face to face and distancial learning;https://www.temesis.com/expertises/ecoconception/formation/sensibilisation-numerique-responsable/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);TEMESIS;;;"Reflect collectively on the implementation of good practice in terms of the design and use of digital technology
To perceive the stakes and the levels of impact of each good practice according to the perceptions and achievements of each learner
Demonstrate and become aware that simple to complex solutions, in terms of use and development, are easily identifiable and achievable
To benefit from collective sharing within a collaborative thinking workshop
To deploy good practices of eco-Sustainable digital in the organisation, to apply these good practices to oneself";"In the form of an ideation workshop, this exercise in collective intelligence makes it possible to become aware of the means of action, their scope and their degree of difficulty. The detailed programme is as follows:

What is a good practice of responsible ecodesign? Examples.
Research and collective drafting of good practices
Organisation of these good practices according to their category, impact and difficulty of implementation";Enterprise;TEMESIS;Workshop on good practice in eco-design and digital sustainability ;Paris;;0,5;face to face and distancial learning;https://www.temesis.com/expertises/ecoconception/formation/atelier-ecoconception-numerique-responsable/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);TEMESIS;;;"To have the theory and practice of the subjects Digital Responsibility and Digital Ecodesign
Understand the impacts of digital technology in the context of global issues
Master the differences in concepts and values present in Sustainable digital design
To approach the digital eco-design approach in a simple and tool-rich way
Take action by creating a digital sobriety reflex within future digital projects";"The detailed programme is as follows:

The current context, environmental and social issues
The global impact of digital technology: Life Cycle Assessment (LCA) of digital technology and of a digital service project
The impact of material manufacturing, of our daily use of digital technology and of the end of life
Place for sobriety and responsibility: definition of the concepts of digital sobriety, low-tech, green IT, IT4Green, accessibility, inclusion, illectronism, digital eco-design, Green-UX, respect for personal data, ethics and responsible digital
Interactive quiz on the key points
Collective brainstorming workshop to define and categorise good ecodesign and responsible digital practices
What do I do? Guides, reference systems and good practices in digital ecodesign, while paying attention to the rebound effects
The Ecodesign approach: interest, method, measurement tools and demonstration with practical cases
This training course with a workshop for collective reflection brings together the awareness-raising training on responsible digital design and ecodesign and the workshop on good practices in ecodesign and responsible digital design. It can be punctuated by edutainment interventions (interactive quiz) to reinforce the memorization of the essential points.";Enterprise;TEMESIS;Understanding digital sustainability & the digital eco-design approach (1 day);Paris;;1;face to face and distancial learning;https://www.temesis.com/expertises/ecoconception/formation/comprendre-numerique-responsable-ecoconception/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);TEMESIS;;;"To have the theory and practice of the subjects Digital Responsibility and Digital Ecodesign
Understand the impacts of digital technology in the context of global issues
Master the differences in concepts and values present in Sustainable Digital
To approach the digital eco-design approach in a simple and tool-rich way
Take action by creating a digital sobriety reflex within future digital projects
To think concretely about the eco-design of a digital service by minimising its environmental impact via an optimisation exercise (1-day participative workshop)";"The detailed programme is as follows:

The current context, environmental and social issues
The global impact of digital technology: Life Cycle Assessment (LCA) of digital technology and of a digital service project
The impact of material manufacturing, of our daily use of digital technology and of the end of life
Place for sobriety and responsibility: definition of the concepts of digital sobriety, low-tech, green IT, IT4Green, accessibility, inclusion, illectronism, digital eco-design, Green-UX, respect for personal data, ethics and responsible digital
Interactive quiz on the key points
What do I do? Guides, guidelines and good practices for digital eco-design, while paying attention to the rebound effects
Collective reflection workshop in order to define and categorise good ecodesign and responsible digital practices
The digital ecodesign approach: interest, method, measurement tools and demonstration with practical cases
(1-day practical workshop) Improvement of a fictitious web project from the UX design stage, in the form of individual reflection using the Figma tool and with sharing of optimisations in groups. Online case studies: audit and possible areas of improvement.
This complete training course with a practical ecodesign and Green-UX workshop combines the awareness-raising training on responsible digital design and ecodesign with the best practices workshop on ecodesign and responsible digital design. It can be punctuated by edutainment interventions (interactive quiz) to reinforce the memorization of the essential points.";Enterprise;TEMESIS;Understanding digitalsustainability & the digital eco-design approach (2 days with workshop);Paris;;2;face to face and distancial learning;https://www.temesis.com/expertises/ecoconception/formation/comprendre-numerique-responsable-ecoconception-atelier/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);TEMESIS;;;"Sustainable Designer - Duration 3 hours (UX-UI designer)
Sustainable developer - Duration 3 hours (Front & Back developer)
Sustainable Project Manager - 3 hours duration (Project Manager)
Sustainable Product Manager - 3 hours duration (Product manager & Product owner)
Sustainable Infrastructure - 3 hours duration (SRE - Site Reliability Engineering, Devops & Adminsys)
Sustainable Marketing Manager - Duration 3 hours (Marketing Manager)";;Enterprise;TEMESIS;Online training;Paris;;3;Distancial;https://www.temesis.com/expertises/ecoconception/formation/module-specifique/
Initial training;Privée (établissement de formation, Enterprise, etc.);;;;;;Academic;;EPF Engineering School;Montpellier;Skill-based evaluation;3;;https://www.epf.fr/formations/cycle-master-les-majeures/majeure-data-engineering
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;;"CCP 1 - Accompany different audiences towards autonomy in the use of digital technologies, services and media:
Develop mediation programmes to facilitate the appropriation of knowledge and digital uses.

Designing and producing educational and documentary resources for different media.

To welcome different audiences, inform them and propose digital mediation actions.

Prepare and lead individual and collective mediation actions in different digital environments.
CP 2 - Contribute to the development of a digital mediation space and its projects:
Carry out a diagnosis of the territory and its digital needs. Contribute to the development and financial sustainability of a digital mediation space.

Develop partnerships and collaborations with local actors.

Promoting a digital mediation space and its projects through internal and external multi-channel communication.
CCP 3 - Contribute to the management of a digital mediation space and lead its collaborative projects:

Contribute to the administrative and accounting follow-up of a digital mediation space.

Ensure the upkeep and maintenance of the digital equipment of a digital mediation space.

Facilitating and accompanying collaborative projects in physical and remote communities.";Training Center;EMERAUDE COMPETENCES MFR - CFA;Title of Digital Mediation Space Manager;SAINT MALO;"Professional title of digital mediation space manager
Level 5 (bac+2)";58;face to face;http://www.emeraude-competences-mfr.fr/formations-5-54-titre-Professional-responsable-d--039-espace-de-mediation-numerique.html
Initial training et Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;Other;Single intervention (workshop or learning classe);"1 one-day course, 7h
Digital impacts, green coding, eco-design";IT School;IT Akademy;Fullstack developer;Lyon;RNCP31678 certification for the entire course;1;face to face;https://www.it-akademy.fr/formation/parcours/2/developpeur-fullstack-dfs
Continuing Education;MOOC;;;;;Digital Responsibility, 5 videos of 30 minutes in total, lots of links and a quiz at the end for a small certification;;;;Rouen;;0,5;Distancial;https://metropoleposition.fr/agir-pour-un-numerique-responsable/
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"The Professional skills targeted at the end of this training are to
- develop and disseminate a more energy-efficient use of digital technology
- develop and disseminate a more reasoned use of personal data that protects the rights of all 
- design and share more inclusive digital communication media";This training enables you to understand the challenges of digital technology today: its materiality to better respond to the climate emergency  the processing of data to be able to protect it correctly  the current digital inequalities to be able to orient your actions in favour of inclusion.;Training Organization;Competens;Sustainable Digital;Rennes;;5;face to face and distancial learning;https://www.competens.net/product/fc/558
Initial training;Privée (établissement de formation, Enterprise, etc.);;;;;"Definition of ecodesign of digital services
- understanding the environmental impact of digital technology and its regulation in France
- identify the design and technical levers of ecodesign for web and mobile applications
- Discovering tools to implement an ecodesign approach on your projects";;Orange Enterprise Business Services;Awareness of eco-design of digital services - web and mobile software design;Nantes et Rennes;No;0,5;face to face and distancial learning;
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;;Web eco-design;Training Organization, Training in Enterprise;Orange Carré;Web eco-design;Saint-Etienne-de-Montluc;No;3;face to face;
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Objectives
- Understand the ecodesign approach for digital services through the ecodesign of a website
- Master the fundamental concepts of digital sobriety and eco-design
- Know how to apply them to digital services (website)
- Master the methodology and tools for eco-designing a website";"At the end of the course, each student will be able to :
- master the methodology and the main web ecodesign tools (excluding LCA) 
- evaluate the performance and environmental maturity of a digital service
- eco-design a digital service (website oriented)";certified Qualiopi trainers (member of the coopérative L'ouvre-boîtes 44);Corymbe;Eco-design of websites;Nantes;;10,5;face to face and distancial learning;https://corymbe.coop/formation/eco-conception-de-site-web/
